id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Region_768	6	0.036684	0.12894	0.346766	353	4	-0.94143	0.89002	0.89092	1.0	701	0	-0.94143
Region_69	15	0.036918	0.17803	0.420152	354	8	-0.10498	0.7075	0.70838	1.0	498	0	-0.10498
Region_254	6	0.037984	0.13238	0.350048	355	4	-0.85508	0.92217	0.92254	1.0	744	0	-0.85508
Region_236	3	0.038856	0.094324	0.281779	356	2	-0.51983	0.73878	0.73981	1.0	535	0	-0.51983
Region_25	11	0.039807	0.17063	0.409848	357	8	-0.39402	0.59763	0.59781	1.0	405	0	-0.39402
Region_598	9	0.039844	0.15773	0.390794	358	5	-0.30743	0.68346	0.68155	1.0	470	0	-0.30743
Region_541	6	0.039976	0.13738	0.359244	359	4	-0.79255	0.90372	0.90492	1.0	720	0	-0.79255
Region_80	12	0.040827	0.1766	0.417832	360	5	0.12869	0.86288	0.8617	1.0	668	0	0.12869
Region_479	3	0.042044	0.10195	0.295238	361	3	-0.41116	0.95796	0.95801	1.0	805	0	-0.41116
Region_539	9	0.042618	0.16621	0.404386	362	7	-0.61388	0.82403	0.82285	1.0	629	0	-0.61388
Region_227	6	0.042653	0.14475	0.372317	363	5	-0.43282	0.96006	0.95984	1.0	808	0	-0.43282
Region_485	5	0.042712	0.13607	0.356815	364	3	-0.91417	0.79249	0.7932	1.0	593	0	-0.91417
Region_461	18	0.042937	0.20987	0.458604	365	13	-0.37676	0.5366	0.53548	1.0	363	0	-0.37676
Region_361	3	0.043725	0.10587	0.302846	366	2	-1.2447	0.73464	0.73567	1.0	524	0	-1.2447
Region_497	15	0.043982	0.20355	0.452259	367	9	-0.38886	0.64129	0.64228	1.0	432	0	-0.38886
Region_152	18	0.044048	0.21381	0.461868	368	11	-0.36518	0.96949	0.96956	1.0	825	0	-0.36518
Region_342	12	0.044174	0.18732	0.433743	369	7	-0.57625	0.25532	0.25477	1.0	160	0	-0.57625
Region_549	3	0.04424	0.10713	0.305517	370	2	-1.2688	0.70398	0.70514	1.0	489	0	-1.2688
Region_684	2	0.044264	0.079464	0.26151	371	2	-0.99485	0.95574	0.95539	1.0	800	0	-0.99485
Region_326	6	0.044391	0.14915	0.381296	372	4	-0.88927	0.46174	0.46191	1.0	308	0	-0.88927
Region_172	6	0.044528	0.14945	0.381296	373	4	-0.65569	0.93161	0.93192	1.0	760	0	-0.65569
Region_198	6	0.045669	0.15246	0.385846	374	3	-0.47108	0.75528	0.75496	1.0	548	0	-0.47108
Region_311	9	0.045918	0.17565	0.416628	375	6	-0.68474	0.73374	0.73245	1.0	523	0	-0.68474
Region_197	7	0.046181	0.16568	0.404151	376	6	-0.38117	0.70304	0.70337	1.0	487	0	-0.38117
Region_662	3	0.046423	0.11185	0.317069	377	2	-1.1926	0.749	0.75007	1.0	542	0	-1.1926
Region_617	1	0.046774	0.046972	0.210147	378	1	-2.1198	0.95323	0.95353	1.0	793	0	-2.1198
Region_912	13	0.046866	0.20514	0.453512	379	5	0.13442	0.68226	0.68001	1.0	466	0	0.13442
Region_276	9	0.047094	0.17909	0.421598	380	6	-0.39428	0.81119	0.81006	1.0	611	0	-0.39428
Region_79	6	0.047953	0.15839	0.39141	381	4	-0.56916	0.97175	0.97165	1.0	835	0	-0.56916
Region_535	12	0.048559	0.20204	0.451747	382	9	-0.27624	0.966	0.96585	1.0	820	0	-0.27624
Region_97	12	0.048659	0.20242	0.451747	383	9	-0.2707	0.99544	0.99544	1.0	920	0	-0.2707
Region_121	3	0.04898	0.11717	0.327255	384	2	-1.2278	0.72514	0.72662	1.0	512	0	-1.2278
Region_171	12	0.049294	0.20442	0.452997	385	8	-0.48587	0.6864	0.68423	1.0	473	0	-0.48587
Region_129	16	0.049333	0.22112	0.471207	386	9	-0.39484	0.28726	0.28817	1.0	182	0	-0.39484
Region_885	6	0.049794	0.16334	0.400498	387	4	-0.46829	0.95731	0.957	1.0	802	0	-0.46829
Region_414	3	0.050246	0.12004	0.331352	388	3	-0.95865	0.94975	0.9496	1.0	787	0	-0.95865
Region_32	6	0.052009	0.1688	0.408526	389	5	-0.61541	0.77456	0.77457	1.0	569	0	-0.61541
Region_690	3	0.052034	0.124	0.337324	390	2	-1.0647	0.78724	0.78862	1.0	587	0	-1.0647
Region_699	9	0.053181	0.19679	0.447182	391	7	-0.34387	0.73195	0.73067	1.0	521	0	-0.34387
Region_399	4	0.053228	0.15234	0.385846	392	3	-0.89248	0.27022	0.26907	1.0	171	0	-0.89248
Region_383	9	0.053354	0.19735	0.447182	393	6	-0.52458	0.21978	0.21791	1.0	127	0	-0.52458
Region_556	6	0.053617	0.17288	0.414042	394	5	-0.60946	0.81475	0.81499	1.0	619	0	-0.60946
Region_356	3	0.054052	0.12827	0.346502	395	3	-1.2031	0.90504	0.9051	1.0	722	0	-1.2031
Region_373	11	0.054309	0.21233	0.459948	396	7	-0.3331	0.80064	0.80138	1.0	604	0	-0.3331
Region_581	3	0.055303	0.13156	0.349089	397	3	-0.57358	0.9447	0.94454	1.0	776	0	-0.57358
Region_766	9	0.056883	0.20705	0.456667	398	6	-0.43183	0.8853	0.88366	1.0	693	0	-0.43183
Region_9	6	0.057066	0.18112	0.42426	399	4	-0.56448	0.71646	0.71665	1.0	508	0	-0.56448
