id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Region_516	12	0.29574	0.54074	1.0	381	2	0.38707	0.010838	0.019786	0.638488	23	1	0.38707
Region_403	3	0.29603	0.34311	1.0	382	1	-0.27174	0.23769	0.23707	0.875543	258	0	-0.27174
Region_215	6	0.29684	0.44302	1.0	383	2	-0.25446	0.83322	0.83389	0.978122	800	0	-0.25446
Region_17	9	0.29706	0.50005	1.0	384	1	0.39294	0.44828	0.44612	0.908854	464	0	0.39294
Region_74	22	0.29795	0.62004	1.0	385	3	0.122	0.84799	0.84918	0.978781	817	0	0.122
Region_646	3	0.29894	0.34515	1.0	386	1	0.11675	0.62953	0.62896	0.954556	623	0	0.11675
Region_578	9	0.29937	0.50256	1.0	387	2	-0.068354	0.21851	0.21675	0.866965	237	0	-0.068354
Region_518	4	0.29964	0.40625	1.0	388	1	-0.089447	0.91094	0.90953	0.993377	863	0	-0.089447
Region_695	3	0.30085	0.34652	1.0	389	1	0.054184	0.81732	0.81792	0.978122	782	0	0.054184
Region_765	13	0.30394	0.55595	1.0	390	4	0.28193	0.61096	0.60903	0.953749	603	0	0.28193
Region_37	12	0.30615	0.55276	1.0	391	3	-0.14994	0.69314	0.69106	0.971747	673	0	-0.14994
Region_397	6	0.31043	0.45613	1.0	392	2	0.17777	0.32514	0.32477	0.875543	349	0	0.17777
Region_132	49	0.31101	0.71182	1.0	393	12	-0.0038516	0.21431	0.31411	0.875543	233	1	-0.0038516
Region_628	14	0.3113	0.57553	1.0	394	3	-0.036108	0.96873	0.96964	0.9949	917	0	-0.036108
Region_310	1	0.31213	0.31249	1.0	395	0	-0.30063	0.68787	0.68906	0.970854	670	0	-0.30063
Region_701	24	0.31296	0.63983	1.0	396	6	-0.095857	0.6566	0.65699	0.958295	646	0	-0.095857
Region_685	3	0.31367	0.3558	1.0	397	1	0.082524	0.68805	0.68904	0.970854	671	0	0.082524
Region_496	21	0.31445	0.62957	1.0	398	5	-0.026467	0.78916	0.79015	0.978122	748	0	-0.026467
Region_703	3	0.31632	0.35752	1.0	399	1	-0.20848	0.66126	0.66086	0.958295	651	0	-0.20848
Region_27	6	0.31952	0.46443	1.0	400	2	-0.15971	0.99157	0.99148	0.997914	938	0	-0.15971
Region_607	5	0.32021	0.45569	1.0	401	1	0.11578	0.25547	0.25563	0.875543	272	0	0.11578
Region_69	15	0.32243	0.6032	1.0	402	4	0.024419	0.32728	0.32645	0.875543	352	0	0.024419
Region_814	12	0.32688	0.57605	1.0	403	1	0.22868	0.8186	0.81698	0.978122	783	0	0.22868
Region_429	15	0.32785	0.60749	1.0	404	4	0.10254	0.54323	0.5429	0.953749	535	0	0.10254
Region_501	18	0.32838	0.62498	1.0	405	5	0.13386	0.17351	0.17738	0.866965	185	1	0.13386
Region_44	6	0.32995	0.47398	1.0	406	1	0.07674	0.095864	0.095621	0.840329	109	1	0.07674
Region_23	11	0.33021	0.56682	1.0	407	3	0.011457	0.45	0.44942	0.908854	466	0	0.011457
Region_831	12	0.33116	0.58075	1.0	408	2	-0.043146	0.13759	0.13934	0.853191	154	1	-0.043146
Region_552	6	0.33193	0.47584	1.0	409	2	-0.12379	0.63358	0.63373	0.955787	626	0	-0.12379
Region_815	3	0.33281	0.36925	1.0	410	1	0.041618	0.098756	0.0997	0.840329	115	0	0.041618
Region_674	6	0.33346	0.47759	1.0	411	2	0.28396	0.28136	0.28042	0.875543	304	0	0.28396
Region_758	9	0.33435	0.5397	1.0	412	3	0.098503	0.31576	0.3138	0.875543	340	0	0.098503
Region_612	5	0.33572	0.47321	1.0	413	2	0.11512	0.91768	0.91838	0.993377	868	0	0.11512
Region_407	6	0.33591	0.47997	1.0	414	2	-0.1735	0.026026	0.027696	0.670381	42	1	-0.1735
Region_278	7	0.33608	0.5047	1.0	415	2	-0.042321	0.24335	0.24252	0.875543	262	0	-0.042321
Region_788	1	0.33817	0.33857	1.0	416	0	-0.24455	0.66183	0.66434	0.958564	653	0	-0.24455
Region_598	9	0.33852	0.5443	1.0	417	2	-0.18195	0.19788	0.1962	0.866965	214	0	-0.18195
Region_867	4	0.33955	0.42955	1.0	418	1	-0.17328	0.56686	0.5668	0.953749	552	0	-0.17328
Region_486	21	0.33977	0.65455	1.0	419	4	-0.064357	0.83821	0.83978	0.978122	808	0	-0.064357
Region_899	6	0.34295	0.48641	1.0	420	2	-0.23903	0.65979	0.65999	0.958295	649	0	-0.23903
Region_660	15	0.34479	0.62125	1.0	421	4	0.069101	0.72026	0.72136	0.978122	689	0	0.069101
Region_912	13	0.34613	0.59968	1.0	422	2	-0.13653	0.31361	0.31366	0.875543	336	0	-0.13653
Region_832	3	0.34729	0.38023	1.0	423	1	0.19612	0.70081	0.70194	0.978122	677	0	0.19612
Region_12	11	0.34839	0.58204	1.0	424	3	0.40399	0.37784	0.37661	0.886925	400	0	0.40399
Region_822	6	0.35073	0.49355	1.0	425	2	-0.12567	0.57909	0.57917	0.953749	562	0	-0.12567
Region_740	29	0.35141	0.69976	1.0	426	5	0.37957	0.54075	0.53852	0.953749	531	0	0.37957
Region_11	3	0.35361	0.3849	1.0	427	1	-0.10824	0.47119	0.47028	0.911599	487	0	-0.10824
Region_534	3	0.35361	0.3849	1.0	428	1	-0.059678	0.88083	0.88212	0.988775	839	0	-0.059678
Region_86	14	0.3548	0.6156	1.0	429	4	0.0052828	0.80112	0.80127	0.978122	766	0	0.0052828
Region_194	8	0.35612	0.55027	1.0	430	1	0.14705	0.21709	0.21732	0.866965	235	0	0.14705
Region_599	3	0.35618	0.38668	1.0	431	1	0.15224	0.64718	0.64633	0.958295	635	0	0.15224
Region_185	3	0.35999	0.38966	1.0	432	1	0.65076	0.04933	0.048655	0.752949	64	1	0.65076
Region_246	2	0.36016	0.36095	1.0	433	1	0.092305	0.18628	0.18617	0.866965	197	0	0.092305
Region_776	9	0.36121	0.56787	1.0	434	2	0.39262	0.28961	0.28775	0.875543	311	0	0.39262
Region_274	3	0.36135	0.39091	1.0	435	1	-0.28983	0.79728	0.79845	0.978122	758	0	-0.28983
Region_225	3	0.36354	0.39258	1.0	436	1	0.29067	0.52601	0.52421	0.953749	520	0	0.29067
Region_774	3	0.36378	0.39277	1.0	437	1	0.116	0.14514	0.14564	0.853191	163	0	0.116
Region_489	21	0.36441	0.677	1.0	438	5	-0.12884	0.91039	0.91203	0.993377	862	0	-0.12884
Region_605	8	0.36578	0.55646	1.0	439	2	-0.060468	0.06994	0.071257	0.825092	83	1	-0.060468
Region_369	27	0.36634	0.71163	1.0	440	5	0.040335	0.80098	0.80277	0.978122	765	0	0.040335
Region_322	9	0.36897	0.57604	1.0	441	3	-0.37293	0.98203	0.98122	0.994926	932	0	-0.37293
Region_83	6	0.37147	0.51343	1.0	442	2	-0.21577	0.68054	0.68096	0.965332	664	0	-0.21577
Region_810	2	0.37169	0.37214	1.0	443	1	-0.27954	0.79173	0.78872	0.978122	750	0	-0.27954
Region_823	12	0.37182	0.61991	1.0	444	2	0.15145	0.016023	0.028805	0.67979	31	1	0.15145
Region_705	2	0.37193	0.3725	1.0	445	1	-0.4472	0.93434	0.93361	0.9949	885	0	-0.4472
Region_723	9	0.37411	0.58161	1.0	446	2	-0.032536	0.84022	0.8386	0.978122	811	0	-0.032536
Region_529	5	0.37482	0.51555	1.0	447	1	0.22944	0.17546	0.17378	0.866965	186	0	0.22944
Region_735	9	0.37632	0.58388	1.0	448	2	0.094847	0.50016	0.49827	0.932386	505	0	0.094847
Region_853	1	0.37677	0.37732	1.0	449	0	-0.18675	0.62323	0.62515	0.954556	618	0	-0.18675
Region_491	6	0.3771	0.51843	1.0	450	2	-0.3585	0.89296	0.8937	0.990353	850	0	-0.3585
Region_895	1	0.37952	0.38007	1.0	451	0	-0.18354	0.62048	0.62226	0.953749	614	0	-0.18354
Region_451	3	0.37991	0.40457	1.0	452	1	-0.35434	0.80413	0.80513	0.978122	768	0	-0.35434
Region_692	3	0.38088	0.40528	1.0	453	1	-0.27768	0.6607	0.66034	0.958295	650	0	-0.27768
Region_601	6	0.38248	0.52369	1.0	454	2	-0.20724	0.4672	0.46783	0.911599	483	0	-0.20724
Region_683	6	0.3827	0.5239	1.0	455	1	0.26589	0.53484	0.53565	0.953749	527	0	0.26589
Region_141	3	0.38336	0.407	1.0	456	1	-0.17544	0.29114	0.29001	0.875543	313	0	-0.17544
Region_338	6	0.38362	0.52481	1.0	457	1	0.26039	0.80475	0.8046	0.978122	769	0	0.26039
Region_535	12	0.38389	0.62833	1.0	458	3	0.17993	0.45016	0.44769	0.908854	467	0	0.17993
Region_824	9	0.38406	0.59242	1.0	459	3	-0.10795	0.025398	0.032428	0.711236	41	1	-0.10795
Region_722	6	0.38677	0.52798	1.0	460	2	-0.11254	0.57967	0.57972	0.953749	563	0	-0.11254
Region_85	9	0.38684	0.5953	1.0	461	2	0.53792	0.00095607	0.0021335	0.546941	2	2	0.53792
Region_551	3	0.38843	0.41099	1.0	462	1	0.41419	0.27609	0.27504	0.875543	295	0	0.41419
Region_860	3	0.38926	0.41167	1.0	463	1	0.28538	0.33436	0.33338	0.881554	358	0	0.28538
Region_785	11	0.38962	0.6156	1.0	464	2	-0.070348	0.86578	0.86747	0.988775	826	0	-0.070348
Region_665	9	0.39161	0.60022	1.0	465	1	0.15247	0.026167	0.033151	0.711236	43	1	0.15247
Region_842	3	0.39282	0.41435	1.0	466	1	-0.25955	0.82625	0.8273	0.978122	795	0	-0.25955
Region_150	3	0.39383	0.4151	1.0	467	1	0.05503	0.031199	0.030765	0.6917	47	1	0.05503
Region_698	9	0.394	0.60296	1.0	468	2	0.25268	0.90146	0.89941	0.993032	856	0	0.25268
Region_243	1	0.4013	0.40162	1.0	469	0	-0.12651	0.5987	0.60014	0.953749	591	0	-0.12651
Region_308	14	0.40151	0.65866	1.0	470	4	0.028225	0.306	0.30626	0.875543	326	0	0.028225
Region_680	9	0.40312	0.61289	1.0	471	3	-0.12493	0.99673	0.99653	0.997914	944	0	-0.12493
Region_453	15	0.40525	0.67143	1.0	472	4	0.097574	0.58557	0.58594	0.953749	572	0	0.097574
Region_134	3	0.40826	0.42645	1.0	473	1	-0.035766	0.85909	0.86012	0.98731	823	0	-0.035766
Region_454	3	0.40925	0.4271	1.0	474	1	-0.33836	0.27622	0.27513	0.875543	296	0	-0.33836
Region_838	8	0.40938	0.58658	1.0	475	1	0.12814	0.3449	0.34442	0.88422	366	0	0.12814
Region_751	3	0.40967	0.42733	1.0	476	1	-0.16661	0.92253	0.92254	0.993377	877	0	-0.16661
Region_390	3	0.40974	0.42735	1.0	477	1	0.36726	0.1283	0.12884	0.853191	146	0	0.36726
Region_202	4	0.41106	0.47115	1.0	478	1	0.050564	0.13927	0.13949	0.853191	156	0	0.050564
Region_76	3	0.41278	0.42991	1.0	479	1	-0.069236	0.012318	0.012657	0.546941	26	1	-0.069236
Region_658	6	0.41284	0.55386	1.0	480	1	0.16424	0.58578	0.58569	0.953749	573	0	0.16424
Region_522	15	0.4158	0.67978	1.0	481	4	0.26853	0.52448	0.52333	0.953749	518	0	0.26853
Region_793	3	0.41725	0.43375	1.0	482	1	-0.35446	0.97524	0.97516	0.9949	923	0	-0.35446
Region_937	6	0.41841	0.55944	1.0	483	2	-0.24808	0.44597	0.44537	0.908854	462	0	-0.24808
Region_922	3	0.41972	0.43592	1.0	484	1	0.76254	0.18424	0.18439	0.866965	195	0	0.76254
Region_908	6	0.42046	0.56141	1.0	485	2	-0.3461	0.82516	0.82561	0.978122	793	0	-0.3461
Region_592	2	0.42153	0.42009	1.0	486	1	0.081279	0.2689	0.26863	0.875543	283	0	0.081279
Region_485	5	0.42182	0.53747	1.0	487	1	-0.17918	0.62027	0.62081	0.953749	613	0	-0.17918
Region_904	6	0.42183	0.56275	1.0	488	2	0.044589	0.2326	0.23126	0.869773	255	0	0.044589
Region_640	2	0.42216	0.42061	1.0	489	1	0.11308	0.22499	0.22501	0.866965	247	0	0.11308
Region_143	6	0.42347	0.56413	1.0	490	2	0.28993	0.018426	0.020835	0.638488	36	1	0.28993
Region_282	15	0.42626	0.68799	1.0	491	3	0.31798	0.0050733	0.010549	0.546941	11	2	0.31798
Region_361	3	0.42887	0.44306	1.0	492	1	0.06425	0.27675	0.27567	0.875543	297	0	0.06425
Region_452	12	0.43022	0.66221	1.0	493	2	-0.0044328	0.38388	0.38224	0.886925	408	0	-0.0044328
Region_82	9	0.43155	0.63064	1.0	494	2	-0.10888	0.13745	0.13601	0.853191	153	1	-0.10888
Region_89	3	0.43383	0.44732	1.0	495	1	-0.058941	0.40613	0.40506	0.898194	427	0	-0.058941
Region_887	6	0.43393	0.57429	1.0	496	2	-0.059453	0.6372	0.63719	0.958295	628	0	-0.059453
Region_777	3	0.43421	0.44764	1.0	497	1	0.20807	0.16082	0.1613	0.866965	175	0	0.20807
Region_604	9	0.43431	0.63224	1.0	498	2	0.25123	0.33818	0.33633	0.88422	360	0	0.25123
Region_557	33	0.43554	0.78623	1.0	499	6	0.1373	0.015288	0.03922	0.720255	30	3	0.1373
