BIN	coeff	pvalue
PHOX2B.00073	-0.0012857172088029	0.78949403392585
PHOX2B.00074	-0.0101577999829317	0.0103721678649621
PHOX2B.00075	-0.00745714134408977	0.150939156282685
PHOX2B.00076	-0.00494857444605692	0.333591770318482
PHOX2B.00077	0.00519110319807018	0.362771263282443
PHOX2B.00078	0.0091782719145407	0.0167292679620901
PHOX2B.00079	0.0121443588636208	0.00447082850132133
PHOX2B.00083	0.000656838073845395	0.836022607783335
PHOX2B.00084	0.000130248778503476	0.970843140291145
PHOX2B.00086	-0.00173155390270543	0.81066658505927
PHOX2B.00089	-0.00974088036336034	0.190385865256513
PHOX2B.00090	-0.0114650196559192	0.0452888728208128
PHOX2B.00093	-0.0110750498197946	0.00538463807109985
PHOX2B.00094	-0.00938437104762254	0.000328845238444927
PHOX2B.00095	0.0020301043851053	0.645581939343738
PHOX2B.00096	0.00408889666057018	0.457565592798875
PHOX2B.00097	0.00374759854062288	0.658070935198004
PHOX2B.00100	-0.0140194967188917	0.076108103068214
PHOX2B.00101	-0.0105899079388392	0.128984217209849
PHOX2B.00105	-0.00102312869982066	0.847271796387586
PHOX2B.00106	0.00649241154946685	0.23920287389726
PHOX2B.00107	0.00202410629784047	0.689247890708266
PHOX2B.00108	0.00221690062791188	0.652153673776341
PHOX2B.00112	-0.00179179145458529	0.642893431368751
PHOX2B.00113	0.00534490209293478	0.173279761782745
PHOX2B.00114	-0.00590023357734164	0.139095625787284
PHOX2B.00115	0.000951142462117546	0.843688142165353
PHOX2B.00116	0.00271656153915102	0.584653614937291
PHOX2B.00120	0.010109245417055	0.0218640129956118
PHOX2B.00121	0.00663773172762286	0.184326309740362
PHOX2B.00122	0.00644507647053794	0.241261798907224
PHOX2B.00123	0.00206862362800979	0.720454414859457
PHOX2B.00124	0.00831242329883012	0.0776928866029257
PHOX2B.00125	0.00475792365175884	0.30000913605053
PHOX2B.00126	0.00992562661153571	0.0710506182456589
PHOX2B.00128	0.00573305859912742	0.139474642337091
PHOX2B.00129	-0.00213389493823304	0.658683043227038
PHOX2B.00130	-0.00164692483364009	0.700123324992577
PHOX2B.00131	-0.00994466949491855	0.0521402865585281
PHOX2B.00132	-0.000865597105289626	0.859835228114067
PHOX2B.00134	0.00495500102914348	0.383804205190896
PHOX2B.00135	0.00324631110055328	0.574795904383783
PHOX2B.00136	-0.00412542804672974	0.424626149428018
PHOX2B.00137	-0.0105634291545262	0.0207880181945394
PHOX2B.00139	-0.0037811716795632	0.380128844059125
