bin,coeff,pval,fdr,Result,Construct
PHOX2B.04219,-0.00959479602095104,0.111380563923706,0.2603602418921073,NoChange,VPR
PHOX2B.04220,-0.0149897226307892,0.0100814602640888,0.057784172423335334,NoChange,VPR
PHOX2B.04221,-0.0223735064330526,3.9164286913671e-4,0.00827504955602009,Depleted,VPR
PHOX2B.04222,-0.0138033777625803,0.00132500061207057,0.017172309705345473,Depleted,VPR
PHOX2B.04223,-0.0123510103960916,0.00394271032064215,0.03308276201309517,Depleted,VPR
PHOX2B.04224,-0.0219786482805705,0.0015362850295995,0.018773405020372953,Depleted,VPR
PHOX2B.04225,-0.0151086163920781,0.0630834760778771,0.18213828909708885,NoChange,VPR
PHOX2B.04226,-0.0147278447613335,0.0980479613725866,0.24027797378472102,NoChange,VPR
PHOX2B.04227,0.00384467981967106,0.514746610060902,0.6866406783994878,NoChange,VPR
PHOX2B.04232,-0.00792817424514655,0.23872924312833,0.425705814974948,NoChange,VPR
PHOX2B.04233,-0.0114216089408933,0.0408232016571882,0.13733381639773856,NoChange,VPR
PHOX2B.04234,-0.0138196061133828,0.0154100857482148,0.07435166300271094,NoChange,VPR
PHOX2B.04235,-0.0127885457344929,0.0419165160636573,0.13994208387553225,NoChange,VPR
PHOX2B.04236,-0.0108465521711098,0.0851387029719422,0.21950610963383047,NoChange,VPR
PHOX2B.04237,-0.0144783469132591,0.0312577237690742,0.11591471128707194,NoChange,VPR
PHOX2B.04238,-0.0116965802001412,0.007619450241689,0.04866365572466151,Depleted,VPR
PHOX2B.04239,-0.00864277608339462,0.0629200982042514,0.1818235359028333,NoChange,VPR
PHOX2B.04240,-0.0101079194172076,0.0108923022946226,0.060355192602045644,NoChange,VPR
PHOX2B.04241,-0.00950769927704747,0.0190430660522561,0.08507735549181662,NoChange,VPR
PHOX2B.04242,-0.0089804775189401,0.0205966565149245,0.0891066245829831,NoChange,VPR
PHOX2B.04243,-0.00294803611846506,0.415924605386358,0.5992510705501908,NoChange,VPR
PHOX2B.04244,0.00163082168671743,0.623299640832554,0.7698270635277717,NoChange,VPR
PHOX2B.04245,-0.00343231868050333,0.35206061673199,0.5405848584711292,NoChange,VPR
PHOX2B.04246,-0.00760875456930501,0.0358408362654654,0.1264351352203396,NoChange,VPR
PHOX2B.04247,-0.0156550449318195,4.16585349721908e-5,0.002323284566831949,Depleted,VPR
PHOX2B.04248,-0.00538830268551293,0.383532050295703,0.5704742864022837,NoChange,VPR
PHOX2B.04249,0.00256513030273629,0.669899699545653,0.8034088264129342,NoChange,VPR
PHOX2B.04250,0.0125150775991691,0.0159129265383893,0.07598854097700863,NoChange,VPR
PHOX2B.04251,0.00647019099599264,0.145408267628361,0.30923021614853,NoChange,VPR
PHOX2B.04252,0.00178641125601374,0.70427249895105,0.826784766581847,NoChange,VPR
PHOX2B.04253,-0.0033266127935427,0.462017918941392,0.640148183228702,NoChange,VPR
PHOX2B.04254,-0.00620487387416205,0.0980909026819545,0.24027797378472102,NoChange,VPR
PHOX2B.04255,3.1629295023946e-4,0.948387992961107,0.9718666833928912,NoChange,VPR
PHOX2B.04256,-0.00121829923367271,0.776856359218963,0.8707842700590669,NoChange,VPR
PHOX2B.04257,0.009013651924969,0.0952189765528899,0.23593820490353798,NoChange,VPR
PHOX2B.04258,0.00759382751548429,0.129471930039217,0.28676933906944246,NoChange,VPR
PHOX2B.04259,0.0107268823934857,0.0812875065368405,0.21293404946985958,NoChange,VPR
PHOX2B.04260,-0.00512550538820127,0.486545837237738,0.6617197491970309,NoChange,VPR
PHOX2B.04261,-0.0017271498616907,0.802160706872588,0.8868526709659057,NoChange,VPR
PHOX2B.04262,-0.00229872604978311,0.699132004318346,0.8238151429126057,NoChange,VPR
PHOX2B.04263,-1.5455250371997e-4,0.974921267233518,0.9866161961212979,NoChange,VPR
PHOX2B.04264,-2.4302020612054e-4,0.956213197512654,0.976474920737916,NoChange,VPR
PHOX2B.04266,0.00534961064333622,0.25865420440122,0.44707744291489426,NoChange,VPR
PHOX2B.04267,0.0111710125448292,0.0108816368204085,0.06031607973075616,NoChange,VPR
PHOX2B.04268,0.00739936019672702,0.178754079246012,0.3556578783142247,NoChange,VPR
PHOX2B.04269,0.00403390668495643,0.448186434921626,0.6278129470283558,NoChange,VPR
PHOX2B.04270,0.00884678998446108,0.0689254961375935,0.19277261033657916,NoChange,VPR
PHOX2B.04271,0.00813473138303341,0.0663962005948042,0.18832151671419786,NoChange,VPR
PHOX2B.04272,0.00370917377675019,0.282633606876598,0.4717989426829056,NoChange,VPR
PHOX2B.04273,1.8018683020638e-4,0.951746585310974,0.9739953580659335,NoChange,VPR
PHOX2B.04274,0.00260218438765739,0.516061077731471,0.6876017371447208,NoChange,VPR
PHOX2B.04275,0.00355914824071001,0.395692810304185,0.5815005925742347,NoChange,VPR
PHOX2B.04276,-0.00623278593704395,0.325592441762807,0.514931190051014,NoChange,VPR
PHOX2B.04277,-0.00607657389784656,0.314557677179996,0.5037853416155645,NoChange,VPR
PHOX2B.04278,-0.00612372116808312,0.414562174994221,0.5980767961953708,NoChange,VPR
PHOX2B.04279,0.00783916254753324,0.0692070699911868,0.1931145258524918,NoChange,VPR
PHOX2B.04280,-9.078584149604e-4,0.82813887119584,0.9033766280244717,NoChange,VPR
PHOX2B.04281,-0.00546913731028894,0.218568001468363,0.4025991228651775,NoChange,VPR
PHOX2B.04282,-0.0123282678016092,0.00773673976102416,0.04897104429356814,Depleted,VPR
PHOX2B.04283,-0.0115742753871442,0.019194403676109,0.0854600672725162,NoChange,VPR
PHOX2B.04284,-0.00513824903529252,0.362635197401486,0.5510038530024578,NoChange,VPR
PHOX2B.04285,-0.00111518804774839,0.88278840350417,0.93394511746696,NoChange,VPR
PHOX2B.04286,0.0011151509209899,0.879701062585214,0.9320993503793118,NoChange,VPR
PHOX2B.04287,0.00464959125921612,0.469119259052855,0.6466970051224874,NoChange,VPR
PHOX2B.04288,0.00595714491663168,0.247889329343959,0.4355449203588995,NoChange,VPR
PHOX2B.04290,0.00718124705005223,0.173514401809397,0.34850844840962597,NoChange,VPR
PHOX2B.04291,-0.00266100845822526,0.449640306933967,0.629082031717146,NoChange,VPR
PHOX2B.04292,4.5346075807742e-4,0.900940170055093,0.9447217496759042,NoChange,VPR
PHOX2B.04293,0.0020060377797346,0.522544351692848,0.6928176637881152,NoChange,VPR
PHOX2B.04294,0.00524181799271283,0.158859595045437,0.3283412443387521,NoChange,VPR
PHOX2B.04295,-0.00596637455040397,0.261930765403383,0.4503480965161807,NoChange,VPR
PHOX2B.04296,-0.0070861699528788,0.190373050566492,0.3695192144856725,NoChange,VPR
PHOX2B.04297,-0.0175217446960177,0.00677047279807805,0.045379806253410516,Depleted,VPR
PHOX2B.04298,-0.0152668875058196,0.0129424163746954,0.06743704804989267,NoChange,VPR
PHOX2B.04299,-0.0266761489081038,5.14923015879938e-5,0.0025620399420237154,Depleted,VPR
PHOX2B.04300,-0.0150923476223041,0.0176302386947538,0.08097513916296835,NoChange,VPR
PHOX2B.04301,-0.0084830540286185,0.261672035467466,0.4501534254832254,NoChange,VPR
PHOX2B.04302,0.0101506412779721,0.145369363733569,0.30923021614853,NoChange,VPR
