Gene,pvalue,estimate,fdr,Result,Construct
Region_126,0.016758553748434036,0.0229709400015572,0.03531406197805214,Enriched,VPR
Region_127,0.016471694309388177,0.013630953877479408,0.035201918807770474,Enriched,VPR
Region_128,0.6108252202920342,0.00296214849361465,0.6685060522324443,NoChange,VPR
Region_129,0.6107779582501072,-0.002690424675497751,0.6685060522324443,NoChange,VPR
Region_130,0.46159903450869066,-0.004258605211959608,0.5295501614160614,NoChange,VPR
Region_131,0.028727949311884073,-0.022341453917421834,0.053768252956404146,NoChange,VPR
Region_132,0.307927463951535,-0.0028038635648541376,0.37515691025901293,NoChange,VPR
Region_133,0.44979967160130746,0.004618590495433775,0.517326848762827,NoChange,VPR
Region_134,0.014222794469056027,0.009105693502539034,0.030981701686811202,Enriched,VPR
Region_135,0.03824843976333963,-0.0383147554780449,0.0677972344040373,NoChange,VPR
Region_136,2.929650609311945e-4,-0.06192399425663378,0.0016359848071333038,Depleted,VPR
Region_138,0.27144334225904665,-0.008509771068490823,0.33753064842115293,NoChange,VPR
Region_139,1.437970361783531e-6,0.05286642421822263,3.420855808032401e-5,Enriched,VPR
Region_140,0.37021008329172267,-0.004665826566381114,0.4415170386487035,NoChange,VPR
Region_141,0.163991277031209,-0.01532502408300197,0.22407801213550732,NoChange,VPR
Region_142,0.44698992506252827,-0.005978720482423734,0.5147501812185039,NoChange,VPR
Region_143,0.16516334303919772,-0.01254642495177032,0.22520009367637217,NoChange,VPR
Region_144,0.9652982476812234,1.782186940431097e-4,0.97391698203552,NoChange,VPR
Region_145,0.25075152601983086,-0.011647396175662943,0.3174781225797298,NoChange,VPR
Region_146,1.2818152847899907e-8,0.02624089683991339,8.276864410358225e-7,Enriched,VPR
Region_147,0.7523109497853564,0.00224958622924235,0.7963572583207988,NoChange,VPR
Region_148,0.20281361065543932,-0.01631874893951812,0.26648765121005397,NoChange,VPR
Region_149,0.022118860845116297,0.02108607627349863,0.04337407853359031,Enriched,VPR
Region_150,2.9206598596362063e-4,0.02995324821082388,0.0016359848071333038,Enriched,VPR
Region_151,2.8096586574564736e-4,-0.04967764097404494,0.001617790717414428,Depleted,VPR
Region_152,0.03888211462924282,-0.007950419031585458,0.06838410821952434,NoChange,VPR
Region_153,0.246010397312348,-0.009542281104590974,0.31278959095690945,NoChange,VPR
Region_154,3.0464419711950704e-4,-0.014520109482075093,0.0016895604551903948,Depleted,VPR
Region_155,0.03980599609723483,0.01924108904547362,0.06920119321519286,NoChange,VPR
Region_156,0.01235451411756677,-0.018832529210815963,0.02813219335586992,Depleted,VPR
Region_157,0.1886282173580166,-0.014803586091074263,0.2511338858492592,NoChange,VPR
Region_158,0.008787831815148797,-0.017812421003693322,0.021470810705120302,Depleted,VPR
Region_159,0.006338030518509585,0.035943135778191034,0.01623110365080075,Enriched,VPR
Region_160,3.695590822959246e-5,0.03085688725858814,3.5166464252159557e-4,Enriched,VPR
Region_161,6.081099094125903e-7,-0.0356781656662169,1.7179104940905676e-5,Depleted,VPR
Region_162,0.7738958826206435,0.0013518695099456852,0.8125457350627895,NoChange,VPR
Region_163,0.0012386766584344163,-0.0166357661905883,0.004730479369745251,Depleted,VPR
Region_164,0.7914771498690522,-0.001565258991352917,0.8262070940896341,NoChange,VPR
Region_165,0.042161536352489745,-0.018640585263755453,0.07273669630276856,NoChange,VPR
Region_166,2.3009541283610326e-4,-0.017729891091729788,0.0013506899558690735,Depleted,VPR
Region_167,9.996458850018335e-8,0.04021113548667136,4.107635818371171e-6,Enriched,VPR
Region_168,0.8023206246598016,0.0017948099374785805,0.8349370767231681,NoChange,VPR
Region_169,0.01609345520050803,-0.019593340870711837,0.0345569679364828,Depleted,VPR
Region_170,2.987203326701013e-7,0.031601860357547834,9.644399311920414e-6,Enriched,VPR
Region_171,0.0044265186059306745,-0.013593942474762779,0.012504915061754156,Depleted,VPR
Region_172,0.004565323773850994,-0.017632563301275793,0.012794268939723697,Depleted,VPR
Region_173,0.16970178621497195,-0.005721552312572647,0.23028747012726894,NoChange,VPR
Region_174,2.0769867414999787e-4,-0.047330794294914415,0.0012486744578665766,Depleted,VPR
Region_175,0.6045984816701997,0.0040266087766101365,0.664103314009551,NoChange,VPR
Region_176,0.013364351588103464,0.015581844839361272,0.02953881133409665,Enriched,VPR
Region_177,0.0017279584034686159,0.03804652116363396,0.006086629637300703,Enriched,VPR
Region_178,3.5058705145059717e-4,0.026875352817209378,0.0018791520081989698,Enriched,VPR
Region_179,0.8593640448275264,0.0033399857761003187,0.887845824598953,NoChange,VPR
Region_180,3.478756349997645e-4,-0.011933996121966889,0.0018791520081989698,Depleted,VPR
Region_181,2.974129094464595e-10,-0.040133491914129356,3.220887012883217e-8,Depleted,VPR
Region_182,0.9728100519729544,-2.0711406835548482e-4,0.9793098964182081,NoChange,VPR
Region_183,0.001532165963707268,-0.012495323503200016,0.005630398500777928,Depleted,VPR
Region_184,0.006748230070261126,-0.034454207888294446,0.016945555509766827,Depleted,VPR
Region_185,0.013012027699835588,0.025331748177270047,0.02911602237784993,Enriched,VPR
Region_186,0.002754279862337752,-0.04147040481650562,0.008718425306782414,Depleted,VPR
Region_187,0.3933214615457767,-0.00779669351383392,0.4629721370278413,NoChange,VPR
Region_188,0.0039978237238935685,-0.028721353593974628,0.0116713065456913,Depleted,VPR
Region_190,0.0024486166133644845,-0.0483520560894602,0.008197215235616747,Depleted,VPR
Region_191,0.9880726701182061,-1.422293621289237e-4,0.9913625902184887,NoChange,VPR
Region_192,0.3798811615098472,-0.003667464874885724,0.4518586447432919,NoChange,VPR
Region_193,0.014909814886334225,0.016314837748594546,0.03232247639627371,Enriched,VPR
