Gene,pvalue,estimate,adj_pvalue
PHOX2B.09452,0.052783285922792994,-0.014239977677926676,0.1448586011222251
PHOX2B.09453,0.10812273979231693,0.014050498982944434,0.23522757284649817
PHOX2B.09454,0.003091976461026073,0.015059847313144512,0.02380557868963771
PHOX2B.09455,0.5863838846498879,-0.0037033103357349173,0.7204198579625015
PHOX2B.09456,0.11511743579406813,-0.008896094864372055,0.2449521339932358
PHOX2B.09457,0.21633263090692706,0.010311461726780515,0.37310563672055413
PHOX2B.09458,8.116050855417184e-4,-0.02822217740956418,0.010759416970354433
PHOX2B.09459,0.0018802533003180696,0.015438459727936034,0.017754145017911064
PHOX2B.09460,0.009727745522235069,-0.0416038495304002,0.04854056351248092
PHOX2B.09461,0.12472858941347241,-0.020955764145567553,0.2581681113224003
PHOX2B.09462,0.06181963690203157,-0.013420753531858193,0.16094314097677342
PHOX2B.09463,0.1534118077427989,-0.011552211376001955,0.2958421940985488
PHOX2B.09464,0.5132240396139959,-0.007196100467179075,0.6625744236689101
PHOX2B.09465,0.046280877381117254,-0.010963335962524764,0.13312808582757485
PHOX2B.09466,0.2354514477412201,-0.00571303714194322,0.39495297062444945
PHOX2B.09467,0.04181638600692239,-0.018489840158645243,0.12462602228771982
PHOX2B.09468,0.02949241016317251,-0.011621747321989891,0.09929478484323993
PHOX2B.09469,0.24036079260117363,-0.015969575913610517,0.4008686742767527
PHOX2B.09470,0.6495503410024703,-0.003953143984229621,0.7688426743633971
PHOX2B.09471,0.03200694841336387,-0.015533265272221722,0.10472573152798564
PHOX2B.09472,0.07143461829747708,-0.008930482185914386,0.17727396209843388
PHOX2B.09473,0.002257905397264987,-0.024092116004303537,0.019794169735623358
PHOX2B.09474,0.005022616950105411,-0.03800867329374257,0.031991523376866324
PHOX2B.09475,5.58261265140201e-4,-0.019318455874158428,0.00866152523616816
PHOX2B.09476,0.8895734742204853,-9.323295795356327e-4,0.9353724452318192
PHOX2B.09477,0.03734773808276034,-0.009582425382104508,0.11596181427397878
PHOX2B.09479,0.1848028223815296,0.011783632351623177,0.3351682991346979
PHOX2B.09480,0.24233664532437346,0.008195121165256282,0.4026012774694645
PHOX2B.09481,7.778575171637417e-4,-0.055495556381963865,0.010570725071456557
PHOX2B.09483,0.053397706095967896,-0.021147873842212766,0.14600853836106137
PHOX2B.09484,0.48976959538289666,-0.007327341458008629,0.6436072119695176
PHOX2B.09485,0.17222570261412132,0.024566487909199877,0.32012220145166315
PHOX2B.09486,0.8676694169567288,9.227582083725157e-4,0.921342788343703
PHOX2B.09487,0.04142912180819885,0.024193025690809177,0.12379473844013257
PHOX2B.09489,0.45355848306467433,0.00536799346255268,0.6108415029782457
PHOX2B.09490,0.11680772565623457,0.00933413701991044,0.24738126921586345
PHOX2B.09491,0.0011285655362883427,-0.04392196829789296,0.0131657390454825
PHOX2B.09492,0.10205470280463848,-0.01895235622401568,0.226387077795928
PHOX2B.09493,0.0038484823931944777,-0.02747348843369241,0.02728648779152551
PHOX2B.09494,0.007896767305779219,-0.019978156031189614,0.042563131515573005
PHOX2B.09495,0.6900702462929795,0.0022533156740123443,0.7976839458129164
PHOX2B.09496,0.16754946931436235,-0.010495543628069556,0.31438191573728774
PHOX2B.09497,0.016887548970787435,-0.017296915646158994,0.06908706649938634
PHOX2B.09498,0.18635659290245585,0.01359995672189232,0.3368305875016797
PHOX2B.09499,0.6043736362006072,-0.004315092173059285,0.7346319458662366
PHOX2B.09500,0.37700012660187504,-0.004805345360467196,0.5392936189617843
PHOX2B.09502,0.056613428206328135,0.015936593976910333,0.15169152962328333
PHOX2B.09503,0.952760811587251,4.3360564924531495e-4,0.9740381155105613
PHOX2B.09504,0.5777048038573935,0.0066898719492397615,0.7144523548471146
PHOX2B.09505,0.018365591095304702,-0.020548180346012867,0.07261443020374665
PHOX2B.09506,0.5942189407863719,0.006506288124621523,0.7269578725709733
PHOX2B.09507,0.844662160648951,0.0012255190542696023,0.9076639509700505
PHOX2B.09508,0.21012585322325075,-0.010299788611640954,0.36585861018391763
PHOX2B.09510,0.007051720461224782,-0.03580554815821662,0.039682754386973086
PHOX2B.09512,0.4255018846732948,0.005706120050820981,0.5851891611481191
PHOX2B.09513,2.028060960419394e-4,-0.03980691713314189,0.004911239567499035
PHOX2B.09514,0.0039542989622083574,-0.02774557713889209,0.027757191491485787
PHOX2B.09518,0.08319469108271024,0.008349370929002146,0.19636192118281282
PHOX2B.09519,0.22785853907685988,0.008682832863841963,0.38653475259527437
PHOX2B.09520,0.22767912263316772,0.009016931701949815,0.38645701149859685
PHOX2B.09524,0.04570256506079269,-0.02562579408173912,0.1321340286338912
PHOX2B.09525,0.4480708369406742,0.006020346570645614,0.6053225606310161
PHOX2B.09526,0.15971059861157202,-0.013281850164730383,0.30454083419788375
PHOX2B.09527,0.017853384348013288,-0.03545706577267105,0.07147415217307279
PHOX2B.09528,1.0965724429715486e-4,-0.027146798188871425,0.0035092607470377595
PHOX2B.09529,0.40696860420328107,-0.005678966065679656,0.5675936433292781
PHOX2B.09530,0.04721637342480247,-0.014453823343084773,0.13475698905767958
PHOX2B.09532,0.5648971831002325,-0.0028348179340695993,0.7037227890892698
PHOX2B.09533,0.5709279904277735,-0.007192290134548881,0.7091034812240594
PHOX2B.09534,0.160210527843503,-0.011593549404202286,0.30511457091726396
PHOX2B.09535,1.819301230733169e-5,-0.06488617691571213,0.0012363422084257817
PHOX2B.09536,0.030856465008780025,-0.03198306541031003,0.10224789280579097
PHOX2B.09537,0.083157182916462985,-0.023912623352782183,0.1963518880046921
PHOX2B.09538,0.5694947099449369,0.004562924321702802,0.7077820989740503
PHOX2B.09540,2.2355666586277879e-4,-0.037788145767649356,0.0051687784781456044
PHOX2B.09541,0.042373989744465386,-0.012331040547306948,0.12583318264101315
PHOX2B.09542,0.7054317762076454,0.003346426638816646,0.809519665929555
PHOX2B.09543,0.29707747793553907,0.004616582437593691,0.4608744721459243
PHOX2B.09544,0.003859443311289894,-0.024868799619282338,0.027338912439354338
PHOX2B.09545,0.0013251862748421973,-0.07835352196172281,0.014520214729847063
PHOX2B.09546,0.7206370615529252,0.00557566551509383,0.8192409905476706
PHOX2B.09547,0.6526993217107048,-0.005565585438385374,0.7711229474910859
PHOX2B.09548,0.16870679875674605,-0.013936259065052527,0.3156868308279004
PHOX2B.09549,9.512593556481702e-4,-0.05094197365595192,0.01193090891550952
PHOX2B.09550,0.11503713348128797,-0.01017353024775888,0.24484923898009767
PHOX2B.09551,0.6329583513218153,0.0030277148333687433,0.7567164691477232
PHOX2B.09553,0.006146716028366174,-0.034647806205278874,0.03636549980657085
PHOX2B.09554,0.08914823054365308,-0.008447650667559006,0.20578298184926644
PHOX2B.09555,0.7346332091714577,0.004237460607622432,0.8300429323645075
PHOX2B.09556,0.2874144480065847,-0.005949782896522812,0.4513652365016839
PHOX2B.09557,0.4211797843093534,0.005107590032952611,0.58124939270436
PHOX2B.09558,0.20447305226899987,0.008866869928112303,0.3586643115037761
PHOX2B.09559,0.6169479590625224,-0.004198939380048869,0.7446024143350449
PHOX2B.09560,0.14294700567909324,-0.012280443613578955,0.28219377334897877
PHOX2B.09561,0.536451460524921,0.005206687591276243,0.6810402770667924
PHOX2B.09567,0.15150519723014624,-0.01912618957865703,0.2935688494932261
PHOX2B.09570,9.648381507773301e-5,-0.02970535639386583,0.0032649015481822723
PHOX2B.09571,0.0797756157385324,0.00880923600830693,0.19055712559707122
PHOX2B.09572,0.15460482506911746,-0.006316073095511924,0.2973052760201646
PHOX2B.09573,0.1552576791557196,0.010579493887335442,0.2983134825492637
PHOX2B.09574,0.03037296545898852,0.014768900500615021,0.10123661394234292
PHOX2B.09575,9.852615124178068e-4,0.03224523426199956,0.012229209492998024
PHOX2B.09576,0.16481542933352478,-0.01792975929767041,0.3109101299844451
PHOX2B.09577,0.004749027487129582,0.019440328937999483,0.030853664664064685
PHOX2B.09580,0.5475387135463029,-0.006684717329552401,0.6897215005301403
PHOX2B.09581,0.08261814289413606,-0.013639904568127012,0.1954797511760979
