Gene,pvalue,estimate,adj_pvalue
PHOX2B.05293,0.030324409833536438,-0.008029316483899646,0.1430726002887904
PHOX2B.05294,0.7441731111387254,0.0015068994559376528,0.8681528952468748
PHOX2B.05295,0.4463311640002461,0.0037096242485589533,0.6566667063019265
PHOX2B.05296,0.010397062053459069,0.012902222663948625,0.0810251978736523
PHOX2B.05299,0.4336009362424896,-0.003765572523420104,0.6454329725831348
PHOX2B.05300,0.3459022977570294,-0.004967987690846968,0.5709417812337142
PHOX2B.05301,0.05171839978647805,-0.009661653896522845,0.19214526183396072
PHOX2B.05302,0.005251744111403618,-0.020041964212073483,0.058977278742641796
PHOX2B.05303,0.02295905975292593,-0.013893429000127144,0.12379156769349335
PHOX2B.05304,0.3962070526259037,0.004862250522736068,0.6132223939960239
PHOX2B.05306,0.07440899751689821,-0.012839318836609957,0.2352843865781503
PHOX2B.05310,9.171663565143606e-5,0.017650008350501525,0.008724439839181352
PHOX2B.05312,0.10016095227320185,-0.010500739180287027,0.27987007608383363
PHOX2B.05313,3.0877541004233555e-4,0.02094847196124496,0.015777394201796538
PHOX2B.05314,0.0026464903948441284,-0.021589648712834336,0.04119715659096433
PHOX2B.05315,0.005045908911914408,-0.0064951062666275755,0.057655306020967315
PHOX2B.05319,0.02073009218656207,-0.016130949394767155,0.11801041354268026
PHOX2B.05320,0.355940565068874,0.008632528517392157,0.5784550704824107
PHOX2B.05321,0.14226685650958285,-0.013332957179013031,0.3418731217174158
PHOX2B.05322,0.024604616479502274,-0.01876974779849184,0.12850567836943455
PHOX2B.05323,0.4049737498092737,-0.004362983600881553,0.6207842610826356
PHOX2B.05324,0.11616782756733063,-0.00693980735293977,0.30531516975120193
PHOX2B.05325,0.8941312626731517,-8.247984243064668e-4,0.9514187231373553
PHOX2B.05327,0.05663177398817831,-0.014816596576359493,0.20316676666370928
PHOX2B.05328,0.3405945818097406,-0.007363883011533635,0.5662661978917043
PHOX2B.05332,0.0015093583459313987,-0.02457429734949062,0.032045642776706934
PHOX2B.05333,0.03002733499790671,-0.024484555300087484,0.14219617490976583
PHOX2B.05334,0.038903772379710204,0.012883059004305199,0.16312091715719457
PHOX2B.05335,1.1556188832889422e-5,-0.02914272960025056,0.0034734278160659204
PHOX2B.05336,0.349127116443285,-0.003921869362321852,0.5733787898964494
PHOX2B.05337,0.5290566573726079,0.0048645484224627165,0.7245742097473006
PHOX2B.05338,0.07168362917899461,-0.006384582466148052,0.23060615984990734
PHOX2B.05339,0.02726815946486962,-0.018134893815163085,0.13509813071654375
PHOX2B.05340,0.06079596523945495,-0.013909064691820735,0.2106082149504192
PHOX2B.05342,0.5491859204288472,-0.0033486788160962326,0.7383681766834522
PHOX2B.05344,0.34982348817946685,-0.0071459307615519595,0.5737075265115061
PHOX2B.05345,0.06767980016590375,-0.021469951323501005,0.22315845488129457
PHOX2B.05346,6.363988521316615e-4,0.031204484219556454,0.02120730000940487
PHOX2B.05347,0.09821885342438269,0.01026676689774639,0.27732488564051616
PHOX2B.05349,0.14205951474409206,-0.01088523043279676,0.3416513273526315
PHOX2B.05350,0.3450013261260065,-0.006522104071242682,0.569761401442098
PHOX2B.05351,0.1454421300458818,-0.012966408740989158,0.346515761808101
PHOX2B.05352,0.205346607243453,-0.004560511751817352,0.42251787146777053
PHOX2B.05355,0.5450737962985158,-0.003404411731849937,0.735643266724771
PHOX2B.05356,0.6436006154335501,0.002305395131418094,0.8060832907134245
PHOX2B.05357,0.22411852870308563,-0.007315502092630593,0.44518762815726315
PHOX2B.05358,0.21880587794857648,0.006757840483404925,0.43976338050003005
PHOX2B.05359,0.7489629612064909,0.0018704446365078085,0.8704442963416111
PHOX2B.05360,0.4364950952965059,0.0032088732156914167,0.6481047380666543
PHOX2B.05361,0.002354894261982066,-0.027257961771304854,0.03910961445495459
PHOX2B.05362,0.07558566778665513,-0.014031682243176689,0.2371858140228529
PHOX2B.05363,0.36467735765861187,0.004292599116180547,0.58707616210343
PHOX2B.05364,0.8779190866563044,-8.885141168455083e-4,0.9430708955399083
PHOX2B.05365,0.18894589277434332,-0.007482432474722276,0.40238282722115987
PHOX2B.05366,0.06413339150796939,-0.013737219234232443,0.21624454294961737
PHOX2B.05367,0.4595579174163091,-0.005109164693463986,0.6678917740490687
PHOX2B.05368,0.05769261198091378,-0.01438837511706678,0.20500535613688275
PHOX2B.05369,1.566402467932393e-4,-0.018736936487784163,0.011103467466441011
PHOX2B.05370,0.7250937624520855,0.0022020783132785473,0.8571729995086002
PHOX2B.05371,0.8216691238449404,0.0018301064199548796,0.9127696128925985
PHOX2B.05372,0.11325629427903734,0.008833705932942373,0.3006764348810813
PHOX2B.05373,0.014137131582728972,0.011662738029370588,0.09607783926012205
PHOX2B.05374,0.12308204164411589,0.005528383471449471,0.31593198555301305
PHOX2B.05375,0.4758499698637042,0.004347218931602286,0.6815053176422066
PHOX2B.05376,0.20166834654058874,0.009457390179824833,0.417648774001074
PHOX2B.05377,0.18849261027191472,0.016090998217703656,0.40174857540403053
PHOX2B.05379,0.02714183065342462,-0.021731259895222222,0.13464631782729644
PHOX2B.05380,0.34933599003953014,0.004788454807357608,0.5734623589095525
PHOX2B.05381,0.02136913220056565,-0.016327678045307818,0.11920212063408692
PHOX2B.05382,0.06831084671123351,-0.009612868341822813,0.2243727754788149
PHOX2B.05383,0.18047205968047403,-0.006256887439411492,0.39146118619527187
PHOX2B.05384,0.5980427229140114,-0.004127848243101914,0.7740897926521805
PHOX2B.05385,0.005930786755841812,-0.01560973695725685,0.062085695956159447
PHOX2B.05386,0.16735238754170634,0.0046883833072073906,0.3756736304823028
PHOX2B.05387,0.05180825985012949,-0.009344948408262095,0.19223875143556074
PHOX2B.05388,0.9417947704438419,6.216010034558552e-4,0.9744205253916642
PHOX2B.05389,0.027623404285642555,-0.014490399279085313,0.13580473518108235
PHOX2B.05390,0.0034021924114858142,0.02334322484703476,0.04631634766933041
PHOX2B.05391,0.04624432328521808,0.015871239499940543,0.18056017107465816
PHOX2B.05392,0.28848586638402307,-0.006214107413384353,0.516543062411097
PHOX2B.05393,0.3624013851959443,0.004026440657325976,0.5846425414320853
PHOX2B.05394,0.284509502231788,0.005810638466626621,0.5129170740398015
PHOX2B.05395,0.9050431587285146,-6.369270467724374e-4,0.9571907741839989
PHOX2B.05396,0.27440375267794065,0.004782000894678222,0.5027892809945198
PHOX2B.05397,0.9845145974908555,-8.591877240767752e-5,0.9928047013313153
PHOX2B.05398,0.020170323788804855,0.01508761056658756,0.11619877500500751
PHOX2B.05399,0.6598079590412451,-0.0034817735509030056,0.8172745262921306
PHOX2B.05400,0.03730630287752514,0.013104992012907782,0.1593580215492381
PHOX2B.05403,0.17129193165773227,0.01001742477099081,0.3796805269323529
PHOX2B.05404,0.9073592993868271,-5.396393912395821e-4,0.9580036381790177
PHOX2B.05405,0.3487212521362539,-0.006709629045780586,0.5732655875681585
PHOX2B.05406,0.6476543537377539,0.0023863524656297912,0.8090533443440656
PHOX2B.05407,0.4422957881990999,0.0026149019108473058,0.6534893626317111
PHOX2B.05412,0.02880384586023112,0.009033373688695584,0.13880356906365385
PHOX2B.05414,0.012778324083677945,-0.019557870801370825,0.09104132713494917
PHOX2B.05415,0.42423105159171837,0.003867643743868419,0.6381157678195909
PHOX2B.05416,0.07425695469460068,0.008832566563795238,0.2351248806783459
PHOX2B.05418,0.0016153539876824184,0.014109231893353747,0.03319270948684155
PHOX2B.05419,0.022530469244848757,-0.022987284744197114,0.12273260947202794
PHOX2B.05420,0.601581414683637,-0.00878140480922526,0.7764938957296625
