Gene,pvalue,estimate,fdr,Result,Construct
Region_64,0.2458569366175203,0.004726089329246496,0.4480940941577386,NoChange,KRAB
Region_65,0.002126114365770092,-0.006122117471982272,0.030740504707976634,Depleted,KRAB
Region_66,0.4683072215697791,0.0037042069435882733,0.6828221424178714,NoChange,KRAB
Region_67,0.05543167725834557,-0.008464473530080847,0.20039335147994786,NoChange,KRAB
Region_68,0.050857597066789835,0.0060209548625285774,0.18842322847695905,NoChange,KRAB
Region_69,0.5895817008834683,-0.0019783648503634817,0.7750468319160447,NoChange,KRAB
Region_70,0.012711445854706809,-0.01606017853281377,0.08575482875115638,NoChange,KRAB
Region_71,0.004438973090661587,-0.01708678195467344,0.04720978439950676,Depleted,KRAB
Region_72,0.960334879589165,1.9597907718891527e-4,0.9809522385859945,NoChange,KRAB
Region_73,0.35934144205492796,-0.00793008283627091,0.5821588953721414,NoChange,KRAB
Region_74,0.017709994372057728,-0.005276968990909731,0.1008940804142109,NoChange,KRAB
Region_75,0.090732621702653,0.009475153193792784,0.2516021166233077,NoChange,KRAB
Region_76,0.9493980769806987,6.37209017305189e-4,0.9779829756313827,NoChange,KRAB
Region_77,0.3783709331140918,0.002196681491960583,0.6011376512041108,NoChange,KRAB
Region_78,0.16158958436094198,-0.009698686899754675,0.35199273316214835,NoChange,KRAB
Region_79,0.47903281635080164,-0.0021998289697083865,0.6898202481268677,NoChange,KRAB
Region_80,0.9820829558910553,8.670657533615961e-5,0.994180282335402,NoChange,KRAB
Region_81,0.8479520768003111,-5.805652290317751e-4,0.9191231144214403,NoChange,KRAB
Region_82,0.24509777536907815,-0.004284784777678822,0.44779771841965044,NoChange,KRAB
Region_83,0.012383064620194562,-0.008007608578124322,0.08481820862787667,NoChange,KRAB
Region_84,0.3692045221976763,0.003947775017848459,0.5917746242317365,NoChange,KRAB
Region_85,0.01832603929426159,0.012365168290577612,0.10328006800528913,NoChange,KRAB
Region_86,0.0937207025459338,-0.005166560894635859,0.2536632188668388,NoChange,KRAB
Region_87,0.7997111916169348,6.347467403456155e-4,0.8949250447004513,NoChange,KRAB
