bin,estimate,pval,fdr,speed,Result,Construct
PHOX2B.18935,-0.00343027748896997,0.321905423648804,0.6485530842961493,stable,NoChange,KRAB
PHOX2B.18936,-0.00536029199399252,0.20274995490627,0.541022418365654,early,NoChange,KRAB
PHOX2B.18937,-0.00390713542051079,0.336517312536416,0.6598110855433144,early,NoChange,KRAB
PHOX2B.18938,-0.00398072789424828,0.276076014223021,0.6084958783668889,stable,NoChange,KRAB
PHOX2B.18939,-0.00105356845253639,0.746413252099065,0.8998068373831027,early,NoChange,KRAB
PHOX2B.18940,-0.00130178940588353,0.713815901786015,0.8859390919969963,stable,NoChange,KRAB
PHOX2B.18941,0.00222652720805453,0.539312295027659,0.7981715536786682,early,NoChange,KRAB
PHOX2B.18942,-0.00199005550421315,0.581639451591877,0.8226519182482493,early,NoChange,KRAB
PHOX2B.18943,-0.00518564112762087,0.15485248173847,0.4833143061053441,stable,NoChange,KRAB
PHOX2B.18944,-0.0090818780839092,0.0109206572926332,0.16549779096196823,early,NoChange,KRAB
PHOX2B.18945,-0.004455875289392,0.216332252299136,0.5536968285222547,early,NoChange,KRAB
PHOX2B.18946,-0.00324899800638896,0.327577990948099,0.6534344747485024,stable,NoChange,KRAB
PHOX2B.18947,-0.00505362332449336,0.11169808179639,0.42251233247704817,early,NoChange,KRAB
PHOX2B.18948,-0.00485683714485244,0.10072930848586201,0.4022197291807713,early,NoChange,KRAB
PHOX2B.18949,-0.00164885604050294,0.61124733310115,0.8371735586773571,stable,NoChange,KRAB
PHOX2B.18950,0.00242841771846523,0.425983822528475,0.7313559073392464,early,NoChange,KRAB
PHOX2B.18951,0.00418511296778302,0.180882255951703,0.5160173944524615,early,NoChange,KRAB
PHOX2B.18952,0.00353601894488482,0.184380346966627,0.5200527141715134,stable,NoChange,KRAB
PHOX2B.18953,0.00211681857409631,0.423154124516886,0.7296768843365523,early,NoChange,KRAB
PHOX2B.18954,-0.00155167938841778,0.51808951754337,0.784039263053093,stable,NoChange,KRAB
